player,player_id,position,team_name,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Ben Klett,44005,HB,S DAKOTA,5,35.1,0,291,57.8,68.6,57.6,0,3,26,37.1,37.0,94.2,0,3,0,34,0,0,0,97,27,73,0,0,7,1
Jamir Hannah,63669,WR,ALABAMA ST,7,20.7,0,105,54.0,,66.9,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,164,0,130,0,0,34,0
Nakia Grier,36947,TE,INDIANA ST,1,87.2,0,191,43.9,0.0,49.0,0,0,0,0.0,0.0,,1,0,0,34,0,0,0,39,0,5,0,0,34,28
Luther Harris,21978,G,E ILLINOIS,1,100.0,0,158,48.3,32.3,56.2,1,1,21,100.0,100.0,90.5,1,3,1,34,0,0,0,34,21,21,34,0,13,0
Aqeel Glass,60328,QB,ALAB A&M,2,34.3,0,104,73.7,,60.0,0,0,0,0.0,0.0,,3,0,0,34,0,0,0,99,0,65,0,0,34,0
Aldon Clark,60338,QB,GRAMBLING,2,41.0,0,177,50.5,,60.0,0,0,0,0.0,0.0,,2,0,0,34,0,0,0,83,0,41,0,0,34,0
KJ Hancock,40489,WR,KENNESAW,2,85.0,0,200,78.4,,82.2,0,0,0,0.0,0.0,,0,0,0,34,0,0,0,40,0,6,0,0,34,0
Darren Johnson,40179,HB,SE LA,3,30.4,0,294,59.9,50.6,68.7,0,1,20,27.0,26.7,87.5,1,3,2,34,0,0,0,112,20,75,0,0,14,0
Treon Harris,27651,WR,TENN STATE,2,37.9,0,308,84.6,,61.6,0,0,0,0.0,0.0,,1,0,0,33,0,0,0,87,0,54,0,0,33,0
Malik Riddick-Reynolds,62798,G,NC CENT,1,100.0,0,247,64.1,83.3,60.7,0,0,14,100.0,100.0,100.0,0,0,0,33,0,31,0,33,16,16,2,0,17,0
Kanin Nelson,39938,QB,S DAK ST,7,62.3,0,292,74.7,,60.0,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,53,0,10,0,0,33,0
Zac Kerxton,48187,WR,VILLANOVA,2,64.7,0,334,53.7,,59.5,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,51,0,18,0,0,33,0
Aaron Parker,48124,WR,RHODE ISLD,2,36.7,0,274,85.8,,72.9,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,90,0,56,0,0,33,0
Joey Kenny,47420,TE,RHODE ISLD,2,76.7,0,274,76.3,76.7,84.5,0,0,8,44.4,44.4,100.0,0,0,0,33,0,0,0,43,8,18,0,0,25,21
Tony Tate,65045,WR,W ILLINOIS,8,17.5,0,345,76.3,,81.9,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,189,0,142,0,0,33,1
Frank Harris III,87739,WR,SO UTAH,3,34.0,0,298,59.1,,57.4,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,97,0,64,0,0,33,1
Martin Robles,25091,TE,SACRAMENTO,4,84.6,0,279,43.9,57.6,45.1,0,1,5,45.5,45.5,90.0,0,1,0,33,0,0,0,39,5,11,0,0,28,36
Dante Smith,64219,FB,CITADEL,1,76.7,0,139,62.5,,51.6,0,0,0,0.0,0.0,,0,0,0,33,0,0,0,43,0,2,0,0,33,21
