player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Quenton Porter,79199,CB,STNY BROOK,8,0,0,80.0,0,0,303,55.0,57.5,76.0,,66.3,79.4,0,0,0,10,0.0,0,0,0,91.7,4,0,4,42,24,47,1,0,0,1,0,0,46,0,23,0,1,3,5,0,0,30,2,7.5
Darius Pickett,79202,S,VILLANOVA,13,3,0,68.4,0,0,334,84.0,80.1,43.1,64.9,76.5,71.3,0,2,1,13,11.1,3,3,2,51.0,13,2,71,2,119,319,114,0,0,114,0,21,205,29,171,109,18,21,19,4,0,63,48,4.8
Jeremiah Gray,79204,DI,CENT ARK,10,1,0,,0,0,132,57.7,63.1,81.0,61.0,64.3,61.8,1,7,0,,12.5,1,0,0,0.0,0,0,1,0,1,195,194,5,152,2,35,0,1,118,76,0,6,6,0,8,0,0,0,
Ty Cormier,79210,ED,NWSTATE,11,6,0,,0,0,257,,68.6,80.4,61.2,70.7,80.4,1,3,0,,0.0,0,0,0,0.0,0,1,0,0,0,164,164,0,27,47,90,0,0,83,81,0,5,5,0,5,0,0,0,
Cade Terveer,79225,ED,S DAK ST,15,5,1,100.0,0,1,292,60.0,84.6,86.6,91.0,62.3,37.5,9,25,2,1,34.8,8,0,0,39.6,1,4,3,0,8,417,414,0,2,334,78,0,3,251,158,0,11,10,1,38,0,1,-1,1.0
Andrew Dean,79226,DI,WEBER ST,1,1,0,,0,0,342,,49.8,68.8,,52.1,73.6,0,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,5,5,0,4,0,1,0,0,0,5,0,0,2,0,0,0,0,0,
Drey Carter,79228,ED,ALAB A&M,10,9,2,,1,2,104,65.3,66.8,35.9,63.6,69.5,34.2,3,18,0,,25.6,10,0,3,0.0,0,3,4,0,9,491,486,0,8,457,21,0,5,271,211,0,17,20,0,24,0,0,0,
Jequaries Martin,79233,ED,NICHOLLS,10,11,4,100.0,0,1,243,70.4,79.9,3.7,80.3,78.3,74.5,5,16,0,6,12.5,4,0,4,91.7,1,2,3,0,14,333,327,0,2,290,35,0,6,187,132,3,13,17,1,23,0,6,0,6.0
McKade Mitton,79235,ED,WEBER ST,5,3,1,0.0,0,0,342,71.6,69.0,36.3,63.2,67.3,71.7,2,4,0,,7.1,1,0,1,39.6,0,1,0,0,5,161,161,0,16,104,41,0,0,84,72,0,9,10,1,7,0,0,0,
Cherif Seye,79240,ED,SE LA,13,4,1,0.0,0,0,294,51.5,58.8,64.3,61.2,57.8,26.9,4,11,0,,40.9,9,0,1,39.6,0,0,2,0,3,385,382,1,8,309,64,0,3,230,152,0,5,9,1,15,0,0,0,
